Predicted idx,Gold idx
"[(40, 44), (46, 49)]","[(0, 3), (40, 49), (80, 83)]"
"[(64, 67), (75, 79), (102, 107)]","[(22, 26), (28, 40), (69, 79), (130, 140)]"
"[(16, 18), (20, 22)]","[(0, 4), (20, 22), (37, 42)]"
[],"[(0, 3), (39, 45)]"
[],"[(27, 31), (38, 41)]"
"[(15, 18), (37, 43)]","[(0, 8), (20, 25)]"
"[(12, 15), (32, 35)]","[(0, 3), (48, 54)]"
"[(36, 38)]","[(0, 3), (18, 24), (26, 29)]"
[],"[(39, 41), (64, 68)]"
"[(36, 41), (85, 90)]","[(10, 14), (28, 34)]"
"[(32, 37)]","[(0, 3), (17, 23)]"
"[(26, 29), (33, 36), (38, 41), (137, 142), (144, 147), (195, 198)]","[(12, 19), (33, 36), (110, 120)]"
"[(29, 32), (40, 46)]","[(0, 3), (40, 46), (48, 59)]"
"[(26, 32)]","[(9, 12), (19, 37), (67, 73)]"
[],"[(12, 17), (36, 39), (84, 87)]"
"[(19, 21), (39, 51)]","[(32, 37), (101, 105)]"
"[(70, 74), (76, 79), (98, 104), (115, 118)]","[(35, 39), (58, 61), (89, 96), (142, 145)]"
[],"[(0, 5), (17, 31)]"
"[(87, 90)]","[(15, 20), (39, 50), (81, 85)]"
"[(0, 3), (5, 13), (25, 28)]","[(0, 3), (15, 28)]"
[],"[(49, 55), (69, 72)]"
"[(10, 20)]","[(0, 4), (22, 52), (54, 67), (69, 79)]"
[],"[(0, 7), (35, 39), (48, 52)]"
"[(21, 23)]","[(10, 19), (21, 23), (31, 42)]"
"[(55, 59)]","[(0, 3), (10, 13), (89, 95)]"
"[(6, 14), (22, 28), (37, 43), (48, 50)]","[(0, 4), (22, 35)]"
"[(44, 45)]","[(20, 24), (36, 42)]"
[],"[(0, 3), (38, 41)]"
"[(0, 8), (25, 28), (65, 69)]","[(30, 37), (65, 69)]"
[],"[(0, 6), (14, 17)]"
[],"[(0, 6), (19, 25)]"
[],"[(0, 5), (75, 87), (128, 136)]"
"[(12, 15)]","[(0, 5), (17, 21)]"
"[(7, 14), (37, 40), (53, 56)]","[(7, 14), (37, 40), (42, 46)]"
"[(35, 39), (60, 70), (170, 178)]","[(27, 33), (35, 58), (80, 106), (162, 178)]"
"[(23, 26), (28, 39), (51, 53), (69, 72)]","[(55, 61), (74, 80), (95, 104)]"
"[(15, 20), (22, 28), (40, 44)]","[(15, 20), (66, 77)]"
"[(29, 33), (46, 50)]","[(0, 7), (29, 33), (60, 65)]"
"[(0, 10), (24, 33)]","[(77, 80), (82, 85)]"
"[(0, 5)]","[(0, 5), (43, 49), (79, 82)]"
"[(41, 47)]","[(13, 16), (103, 114)]"
[],"[(23, 25), (27, 43), (45, 50), (52, 55), (57, 70), (82, 90)]"
"[(38, 41)]","[(0, 3), (38, 41)]"
"[(0, 4), (14, 19), (28, 34), (45, 49), (92, 99)]","[(6, 12), (21, 26), (106, 111)]"
[],"[(0, 5), (40, 43)]"
"[(15, 24)]","[(5, 8), (26, 34)]"
[],"[(5, 10), (30, 33)]"
"[(8, 14), (45, 48)]","[(20, 34), (36, 43)]"
"[(126, 129), (144, 147)]","[(0, 3), (16, 19), (64, 88), (119, 124), (158, 171), (181, 199), (213, 227), (229, 233), (250, 270), (293, 297)]"
"[(50, 52)]","[(30, 36), (64, 75), (101, 106)]"
[],"[(0, 5), (29, 33)]"
"[(8, 14)]","[(16, 21), (70, 74)]"
"[(23, 29)]","[(0, 4), (55, 61)]"
"[(25, 28)]","[(0, 5), (30, 33)]"
"[(13, 19)]","[(36, 42), (75, 85)]"
[],"[(8, 13), (26, 32)]"
"[(15, 18), (20, 20), (27, 29)]","[(0, 6), (22, 25)]"
"[(41, 47), (56, 59)]","[(32, 34), (56, 59)]"
"[(29, 37)]","[(10, 13), (15, 21), (23, 27)]"
"[(0, 9)]","[(11, 14), (16, 22), (56, 74), (76, 95)]"
[],"[(37, 40), (55, 59)]"
"[(40, 46), (61, 68), (70, 74), (140, 144), (146, 149)]","[(13, 18), (76, 84)]"
[],"[(15, 18), (39, 43)]"
"[(6, 15)]","[(26, 33), (45, 48), (50, 54)]"
[],"[(12, 19), (56, 59)]"
"[(52, 57)]","[(4, 12), (26, 38)]"
[],"[(0, 9), (90, 94)]"
[],"[(0, 5), (30, 33), (54, 59)]"
"[(116, 121)]","[(49, 61), (93, 96)]"
"[(20, 23)]","[(5, 8), (20, 27), (34, 49)]"
"[(53, 58)]","[(15, 21), (23, 27), (68, 72), (68, 77)]"
